Attendance_ID,Fellow_ID,Fellow_ID  (from Fellow_ID),Session,Year_of _imp,Date,School_ID,School_ID  (from School_ID),Supervisor_ID,Supervisor_ID (from Supervisor_ID),Attendance,absence_reason,Payment Initiated
TFW23_S_065_ANS23_School_1_Session0_45061,TFW23_S_065,TFW23_S_065,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_022_ANS23_School_1_Session0_45061,TFW23_S_022,TFW23_S_022,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,,,
TFW23_S_014_ANS23_School_1_Session0_45061,TFW23_S_014,TFW23_S_014,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_026_ANS23_School_1_Session0_45061,TFW23_S_026,TFW23_S_026,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,,,
TFW23_S_036_ANS23_School_1_Session0_45061,TFW23_S_036,TFW23_S_036,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_063_ANS23_School_1_Session0_45061,TFW23_S_063,TFW23_S_063,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_025_ANS23_School_1_Session0_45061,TFW23_S_025,TFW23_S_025,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,,,
TFW23_S_054_ANS23_School_1_Session0_45061,TFW23_S_054,TFW23_S_054,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_058_ANS23_School_1_Session0_45061,TFW23_S_058,TFW23_S_058,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_050_ANS23_School_1_Session0_45061,TFW23_S_050,TFW23_S_050,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_016_ANS23_School_1_Session0_45061,TFW23_S_016,TFW23_S_016,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_015_ANS23_School_1_Session0_45061,TFW23_S_015,TFW23_S_015,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_011_ANS23_School_1_Session0_45061,TFW23_S_011,TFW23_S_011,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_048_ANS23_School_1_Session0_45061,TFW23_S_048,TFW23_S_048,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_007_ANS23_School_1_Session0_45061,TFW23_S_007,TFW23_S_007,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_066_ANS23_School_1_Session0_45061,TFW23_S_066,TFW23_S_066,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_031_ANS23_School_1_Session0_45061,TFW23_S_031,TFW23_S_031,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_021_ANS23_School_1_Session0_45061,TFW23_S_021,TFW23_S_021,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,,,
TFW23_S_023_ANS23_School_1_Session0_45061,TFW23_S_023,TFW23_S_023,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,,,
TFW23_S_070_ANS23_School_1_Session0_45061,TFW23_S_070,TFW23_S_070,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_052_ANS23_School_1_Session0_45061,TFW23_S_052,TFW23_S_052,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_017_ANS23_School_1_Session0_45061,TFW23_S_017,TFW23_S_017,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_057_ANS23_School_1_Session0_45061,TFW23_S_057,TFW23_S_057,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_032_ANS23_School_1_Session0_45061,TFW23_S_032,TFW23_S_032,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_008_ANS23_School_1_Session0_45061,TFW23_S_008,TFW23_S_008,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_042_ANS23_School_1_Session0_45061,TFW23_S_042,TFW23_S_042,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_024_ANS23_School_1_Session0_45061,TFW23_S_024,TFW23_S_024,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,,,
TFW23_S_301_ANS23_School_1_Session0_45061,TFW23_S_301,TFW23_S_301,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_036_ANS23_School_1_Session1_45068,TFW23_S_036,TFW23_S_036,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_052_ANS23_School_1_Session1_45068,TFW23_S_052,TFW23_S_052,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_070_ANS23_School_1_Session1_45068,TFW23_S_070,TFW23_S_070,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_031_ANS23_School_1_Session1_45068,TFW23_S_031,TFW23_S_031,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_064_ANS23_School_1_Session1_45068,TFW23_S_064,TFW23_S_064,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_015_ANS23_School_1_Session1_45068,TFW23_S_015,TFW23_S_015,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_040_ANS23_School_1_Session1_45068,TFW23_S_040,TFW23_S_040,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_061_ANS23_School_1_Session1_45068,TFW23_S_061,TFW23_S_061,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_050_ANS23_School_1_Session1_45068,TFW23_S_050,TFW23_S_050,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_057_ANS23_School_1_Session1_45068,TFW23_S_057,TFW23_S_057,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_004_ANS23_School_1_Session1_45068,TFW23_S_004,TFW23_S_004,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_059_ANS23_School_1_Session1_45068,TFW23_S_059,TFW23_S_059,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_037_ANS23_School_1_Session1_45068,TFW23_S_037,TFW23_S_037,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_012_ANS23_School_1_Session1_45068,TFW23_S_012,TFW23_S_012,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_017_ANS23_School_1_Session1_45068,TFW23_S_017,TFW23_S_017,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_062_ANS23_School_1_Session1_45068,TFW23_S_062,TFW23_S_062,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_013_ANS23_School_1_Session1_45068,TFW23_S_013,TFW23_S_013,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_023_ANS23_School_1_Session1_45068,TFW23_S_023,TFW23_S_023,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,,,
TFW23_S_069_ANS23_School_1_Session1_45068,TFW23_S_069,TFW23_S_069,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_010_ANS23_School_1_Session1_45068,TFW23_S_010,TFW23_S_010,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_014_ANS23_School_1_Session1_45068,TFW23_S_014,TFW23_S_014,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_032_ANS23_School_1_Session1_45068,TFW23_S_032,TFW23_S_032,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_041_ANS23_School_1_Session1_45068,TFW23_S_041,TFW23_S_041,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_053_ANS23_School_1_Session1_45068,TFW23_S_053,TFW23_S_053,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_033_ANS23_School_1_Session1_45068,TFW23_S_033,TFW23_S_033,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_021_ANS23_School_1_Session1_45068,TFW23_S_021,TFW23_S_021,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,,,
TFW23_S_018_ANS23_School_1_Session1_45068,TFW23_S_018,TFW23_S_018,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_005_ANS23_School_1_Session1_45068,TFW23_S_005,TFW23_S_005,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_068_ANS23_School_1_Session1_45068,TFW23_S_068,TFW23_S_068,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_055_ANS23_School_1_Session1_45068,TFW23_S_055,TFW23_S_055,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_028_ANS23_School_1_Session1_45068,TFW23_S_028,TFW23_S_028,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,checked,,
TFW23_S_002_ANS23_School_1_Session1_45068,TFW23_S_002,TFW23_S_002,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_038_ANS23_School_1_Session1_45068,TFW23_S_038,TFW23_S_038,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_054_ANS23_School_1_Session1_45068,TFW23_S_054,TFW23_S_054,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_065_ANS23_School_1_Session1_45068,TFW23_S_065,TFW23_S_065,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_016_ANS23_School_1_Session1_45068,TFW23_S_016,TFW23_S_016,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_025_ANS23_School_1_Session1_45068,TFW23_S_025,TFW23_S_025,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,,,
TFW23_S_046_ANS23_School_1_Session1_45068,TFW23_S_046,TFW23_S_046,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_024_ANS23_School_1_Session1_45068,TFW23_S_024,TFW23_S_024,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,,,
TFW23_S_030_ANS23_School_1_Session1_45068,TFW23_S_030,TFW23_S_030,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,,,
TFW23_S_049_ANS23_School_1_Session1_45068,TFW23_S_049,TFW23_S_049,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_058_ANS23_School_1_Session1_45068,TFW23_S_058,TFW23_S_058,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_022_ANS23_School_1_Session1_45068,TFW23_S_022,TFW23_S_022,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,,,
TFW23_S_047_ANS23_School_1_Session1_45068,TFW23_S_047,TFW23_S_047,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_045_ANS23_School_1_Session1_45068,TFW23_S_045,TFW23_S_045,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_042_ANS23_School_1_Session1_45068,TFW23_S_042,TFW23_S_042,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_044_ANS23_School_1_Session1_45068,TFW23_S_044,TFW23_S_044,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_011_ANS23_School_1_Session1_45068,TFW23_S_011,TFW23_S_011,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_067_ANS23_School_1_Session1_45068,TFW23_S_067,TFW23_S_067,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_066_ANS23_School_1_Session1_45068,TFW23_S_066,TFW23_S_066,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_020_ANS23_School_1_Session1_45068,TFW23_S_020,TFW23_S_020,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_051_ANS23_School_1_Session1_45068,TFW23_S_051,TFW23_S_051,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_001_ANS23_School_1_Session1_45068,TFW23_S_001,TFW23_S_001,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,,,
TFW23_S_034_ANS23_School_1_Session1_45068,TFW23_S_034,TFW23_S_034,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_003_ANS23_School_1_Session1_45068,TFW23_S_003,TFW23_S_003,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_026_ANS23_School_1_Session1_45068,TFW23_S_026,TFW23_S_026,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,,,
TFW23_S_019_ANS23_School_1_Session1_45068,TFW23_S_019,TFW23_S_019,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_008_ANS23_School_1_Session1_45068,TFW23_S_008,TFW23_S_008,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_029_ANS23_School_1_Session1_45068,TFW23_S_029,TFW23_S_029,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,,,
TFW23_S_043_ANS23_School_1_Session1_45068,TFW23_S_043,TFW23_S_043,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_035_ANS23_School_1_Session1_45068,TFW23_S_035,TFW23_S_035,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_056_ANS23_School_1_Session1_45068,TFW23_S_056,TFW23_S_056,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_060_ANS23_School_1_Session1_45068,TFW23_S_060,TFW23_S_060,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_009_ANS23_School_1_Session1_45068,TFW23_S_009,TFW23_S_009,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_048_ANS23_School_1_Session1_45068,TFW23_S_048,TFW23_S_048,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_039_ANS23_School_1_Session1_45068,TFW23_S_039,TFW23_S_039,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_006_ANS23_School_1_Session1_45068,TFW23_S_006,TFW23_S_006,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_063_ANS23_School_1_Session1_45068,TFW23_S_063,TFW23_S_063,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_027_ANS23_School_1_Session1_45068,TFW23_S_027,TFW23_S_027,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,,,
TFW23_S_007_ANS23_School_1_Session1_45068,TFW23_S_007,TFW23_S_007,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_301_ANS23_School_1_Session1_45068,TFW23_S_301,TFW23_S_301,1,2023,22/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_018_ANS23_School_1_Session2_45075,TFW23_S_018,TFW23_S_018,2,2023,29/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_043_ANS23_School_1_Session2_45075,TFW23_S_043,TFW23_S_043,2,2023,29/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_016_ANS23_School_1_Session2_45075,TFW23_S_016,TFW23_S_016,2,2023,29/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
